gametype,0,0:¶ó¿îµåÁ¦ 1:¼¶¸ê,,,,,,,,,
roundTime,180,,,,,,,,,,
wall,0,,,,,,,,,,
wall,0,,,,,,,,,,
RewardRound,0,,,,,,,,,,
round,waveTypes,GoalKillCount,damageAdd,attackRangeAdd,healthAdd,armorAdd,speedAdd,IntervalAdd,moneyAdd,BGM,PlayerSpawn
1,1,0,0,0,13,0,0,0,10,2,0
2,2,0,4,0,33,9,10,0,15,2,0
3,2,0,6,0,53,27,20,0,15,2,0
4,3,0,6,0,60,27,20,0,20,2,0
5,4,0,8,0,79,18,25,0,30,3,0
6,5,0,0,0,0,0,0,0,100,2,0
7,6,0,8,0,72,53,25,-0.5,30,2,0
8,7,0,10,0,102,36,30,-0.5,35,2,0
9,8,0,4,0,573,253,0,-0.5,100,2,0
10,9,0,12,0,117,53,35,-0.5,35,3,0
11,10,0,6,0,102,44,40,-1,40,2,0
12,11,0,10,0,117,49,40,-1,40,2,0
13,12,0,12,0,124,62,35,-1,40,2,0
14,13,0,12,0,139,70,20,-1,45,2,0
15,14,0,14,0,153,129,45,-1.5,50,3,0
16,15,0,0,0,79,87,25,-1.5,200,2,0
17,16,0,16,0,117,87,45,-1.5,50,2,0
18,17,0,16,0,153,129,50,-2,55,2,0
19,18,0,18,0,153,129,50,-2.5,60,2,0
20,19,0,18,0,190,171,55,-2.5,80,2,0
