waveID,spawnPoint,startTime,endTime,intervalTime,zombi,zombiRatio,eventmessage,,,
1,9999,30,0,0,9999,1,2655,,짐,객실의 모든 형제들은 들어라. 현 시간부로 최대 전투력을 유지한다!
1,9999,33,0,0,9999,1,2656,,제라드,이봐 짐. 복수의 칼날은 이미 충분히 다듬어져 있네. 침착하시게.
1,9999,36,0,0,9999,1,2657,,제니퍼,맞아요. 짐. 일단 흥분은 가라 앉혀요.
1,9999,39,0,0,9999,1,2658,,최지윤,잠깐?? 뭔가 수상한 물체가 우리쪽으로 접근중이에요!
1,9999,42,0,0,9999,1,2659,,짐,망할 크로노스 녀석들! 기필코 오늘은 녀석들의 제삿날로 만들어 주겠다!!
1,9999,45,0,0,9999,1,2660,,Dr.A,검은 물체들이 이쪽으로 향하고 있어요!
1,9999,48,0,0,9999,1,2661,,빅토르,녀석들의 반격인가?
1,9999,51,0,0,9999,1,2662,,제라드,"장군님, 일단 몸을 피하시는게 좋을듯 합니다."
1,9999,54,0,0,9999,1,2663,,빅토르,아니네. 자네들과 함께하겠네.
1,9999,57,0,0,9999,1,2664,,칼리토,이런 상황에 계급 따위가 중요해!? 어서 장군에게 무기를 건네!
1,9999,60,0,0,9999,1,2665,,빅토르,저 친구의 말이 틀리지않네. 모두 전투 준비!!
1,101,65,43200,5,31901,1,,,,
1,103,65,43200,6,31901,1,,,,
1,105,65,43200,5,31901,1,,,,
1,107,65,43200,6,31901,1,,,,
1,109,65,43200,5,31901,1,,,,
1,102,65,43200,6,31901,1,,,,
1,104,65,43200,5,31901,1,,,,
1,106,65,43200,6,31901,1,,,,
1,108,65,43200,5,31901,1,,,,
1,110,65,43200,6,31901,1,,,,
1,9999,120,0,0,9999,1,2666,,짐,열차 바깥쪽으로 녀석들이 또 투하된다! 흩어져서 열차 외곽을 방어해!
1,9999,123,0,0,9999,1,2667,,칼리토,이 고철덩어리들 방패막이로 나름 쓸만하겠군.
1,9999,126,0,0,9999,1,2668,,빅토르,칼리토를 따라 XT-300을 노획[E]해서 역공한다! 실시!
1,9999,180,0,0,9999,1,2669,,제니퍼,위험해요! 투하 지점에서 멀리 떨어지세요!
1,9999,183,0,0,9999,1,2670,,제라드,이번엔 열차 외곽이다! 안되겠어. 함포를 사용해!
1,9999,186,0,0,9999,1,2671,,최지윤,조심해요! 모두 함포 유효 반경에서 벗어나세요!
1,9999,240,0,0,9999,1,2672,,메이,한도끝도 없이 몰려오는데. 이러다가 열차가 탈선하겠어.
1,9999,243,0,0,9999,1,2673,,칼리토,망할 자식들 마구 퍼붓는구만. 개체수가 늘고있다!!
1,9999,246,0,0,9999,1,2674,,최지윤,더 이상 못 버티겠어요!
1,9999,249,0,0,9999,1,2675,,제니퍼,아아...이대로 끝인건가요…?
