id,appearance,attackDamage,attackRange,attackInterval,health,armor,speed,bonusMoney,priority,skill,color,Killtype,EventClass,propensity,clearpoint,dropItem,exp,isShowHPInfo,mmNum,waveType,"render[mode, fx, alpha]",spawnMessageNum,name
1,akshazombi_host,75,65,3,400,300,240,750,0,0,255 255 255,0,101,0,0,1,750,0,-1,-1,,,
2,akshazombi_origin,75,65,3,400,300,240,750,0,0,255 255 255,0,101,0,0,1,750,0,-1,-1,,,
3,devilskinlight_host,20,60,4,40,75,260,250,0,0,255 255 255,0,101,0,0,1,250,0,-1,-1,,,
4,devilskinlight_origin,20,60,4,40,75,260,250,0,0,255 255 255,0,101,0,0,1,250,0,-1,-1,,,
5,resident_zombi_host,20,80,4,45,80,255,250,0,0,255 255 255,0,101,0,0,1,250,0,-1,-1,,,
6,resident_zombi_origin,20,80,4,45,80,255,250,0,0,255 255 255,0,101,0,0,1,250,0,-1,-1,,,
7,stonedeimos2_host,75,60,4,300,300,245,1000,0,0,255 255 255,0,101,0,0,1,750,0,-1,-1,,,
8,stonedeimos2_origin,100,70,3,350,400,250,1500,0,0,255 255 255,0,101,0,0,1,1000,0,-1,-1,,,
9,mummystamper_host,35,55,4,115,115,245,400,0,0,255 255 255,0,101,0,0,1,400,0,-1,-1,,,
10,mummystamper_origin,35,55,4,115,115,245,400,0,0,255 255 255,0,101,0,0,1,400,0,-1,-1,,,
11,nurseskinresi_host,45,65,3,200,125,270,500,0,0,255 255 255,0,101,0,0,1,350,0,-1,-1,,,
12,nurseskinresi_origin,75,40,5,400,300,235,1000,0,0,255 255 255,0,101,0,0,1,1000,0,-1,-1,,,
13,booster_zombi_host,30,65,4,75,100,280,350,0,0,255 255 255,0,101,0,0,1,350,0,-1,-1,,,
14,booster_zombi_origin,30,65,4,75,100,280,350,0,0,255 255 255,0,101,0,0,1,350,0,-1,-1,,,
15,pass_zombi_host,25,60,4,75,95,265,400,0,0,255 255 255,0,101,0,0,1,350,0,-1,-1,,,
16,pass_zombi_origin,25,60,4,75,95,265,400,0,0,255 255 255,0,101,0,0,1,350,0,-1,-1,,,
17,y19s2lightskin_host,25,60,4,75,95,265,400,0,0,255 255 255,0,101,0,0,1,350,0,-1,-1,,,
