id,type,map trigger id,wave id,cool time,dest ratio,end wave,hostCrashReset,roundTimeBase
0,w,26,26,0,,,1,1
1,w,1,1,0,,,,
1,w,2,2,0,,1,,
1,w,3,3,0,,2,,
1,w,4,4,0,,3,,
1,w,5,5,0,,4,,
1,w,6,6,0,,5,,
1,w,7,7,0,,6,,
1,w,8,8,0,,7,,
1,w,9,9,0,,8,,
1,w,10,10,0,,9,,
1,w,11,11,0,,10,,
1,w,12,12,0,,11,,
1,w,13,13,0,,12,,
1,w,14,14,0,,13,,
1,w,15,15,0,,14,,
1,w,16,16,0,,15,,
1,w,17,17,0,,16,,
1,w,18,18,0,,17,,
1,w,19,19,0,,18,,
1,w,20,20,0,,19,,
1,w,21,21,0,,20,,
1,w,22,22,0,,21,,
1,w,23,23,0,,22,,
1,w,24,24,0,,23,,
1,w,25,25,0,,24,,
1,w,50,50,0,,,,
1,g,500,,,50,,,
