gametype,8,0:¶ó¿îµåÁ¦ 1:¼¶¸ê,,,,,,,,,,
roundTime,180,,,,,,,,,,,
wall,0,,,,,,,,,,,
wall,0,,,,,,,,,,,
RewardRound,0,,,,,,,,,,,
round,waveTypes,GoalKillCount,damageAdd,attackRangeAdd,healthAdd,armorAdd,speedAdd,IntervalAdd,moneyAdd,BGM,PlayerSpawn,skillWaveType
1,1 30,0,0,0,0,0,5,3,0,2,0,0
2,1 2,0,0,0,0,0,5,2,0,2,0,0
3,1 2 3,0,0,0,10,0,10,1,5,2,0,0
4,1 2 3 4 31,0,0,0,10,0,10,0,10,2,0,1
5,1 2 3 4 7,0,10,0,25,10,15,0,30,2,0,2
6,1 2 3 4 6,0,10,0,25,10,15,0,50,2,0,3
7,1 2 3 4 5 6,0,15,0,50,20,20,0,70,2,0,4
8,9 10 11 12,0,15,0,50,20,20,0,90,2,0,5
9,9 10 11 12 13 5 32,0,20,0,75,30,30,0,110,2,0,6
10,9 10 11 12 13 14,0,20,0,75,30,30,0,130,2,0,7
11,8,0,0,0,0,0,0,0,150,2,0,0
12,15 16 17 18,0,30,0,100,50,50,0,160,2,0,8
13,15 16 17 18 19,0,30,0,150,50,50,0,170,2,0,10
14,15 16 17 18 19 23,0,40,0,200,75,75,0,180,2,0,11
15,20 21 22 33,0,50,0,250,75,75,0,200,3,0,12
