24,,
root1,10,0
2404.000000,3524.000000,-3030.000000
1808.000000,3476.000000,-3016.000000
1090.000000,3326.000000,-2990.000000
454.000000,3010.000000,-2970.000000
-248.000000,2516.000000,-2970.000000
-522.000000,1634.000000,-2988.000000
-624.000000,1186.000000,-2990.000000
-548.000000,592.000000,-2984.000000
-228.000000,88.000000,-2980.000000
-182.000000,-448.000000,-2844.000000
root2,10,1
2976.000000,3112.000000,-3070.000000
2442.000000,2898.000000,-3026.000000
1766.000000,2718.000000,-2986.000000
1134.000000,2468.000000,-2890.000000
86.000000,2198.000000,-2970.000000
-198.000000,2010.000000,-2956.000000
-156.000000,1658.000000,-3018.000000
110.000000,970.000000,-3018.000000
458.000000,392.000000,-3012.000000
88.000000,-796.000000,-2710.000000
root5,8,2
-2232.000000,2660.000000,-3008.000000
-1618.000000,2396.000000,-2994.000000
-552.000000,2516.000000,-2894.000000
196.000000,2294.000000,-2972.000000
470.000000,1796.000000,-3002.000000
586.000000,1198.000000,-3002.000000
294.000000,260.000000,-3002.000000
-130.000000,-600.000000,-2856.000000
root6,8,3
-1452.000000,2328.000000,-3226.000000
-888.000000,2144.000000,-2928.000000
-346.000000,1670.000000,-2962.000000
-34.000000,1078.000000,-2976.000000
-54.000000,766.000000,-2994.000000
-120.000000,438.000000,-2980.000000
48.000000,64.000000,-2970.000000
102.000000,-322.000000,-2788.000000
root9,9,4
-152.000000,3124.000000,-2946.000000
-104.000000,2796.000000,-2938.000000
270.000000,2554.000000,-2946.000000
344.000000,1964.000000,-2946.000000
-28.000000,1666.000000,-3004.000000
-158.000000,1038.000000,-2998.000000
-492.000000,328.000000,-3002.000000
-712.000000,-388.000000,-2936.000000
-744.000000,-874.000000,-2820.000000
root10,9,5
2186.000000,42.000000,-2994.000000
1736.000000,-104.000000,-3008.000000
1226.000000,-290.000000,-2932.000000
922.000000,-288.000000,-2916.000000
752.000000,-416.000000,-2852.000000
718.000000,-582.000000,-2800.000000
578.000000,-762.000000,-2826.000000
386.000000,-916.000000,-2876.000000
42.000000,-1074.000000,-2872.000000
root4,11,6
2704.000000,3228.000000,-2612.000000
2190.000000,2948.000000,-2608.000000
1806.000000,2476.000000,-2640.000000
1288.000000,2280.000000,-2626.000000
686.000000,2182.000000,-2680.000000
106.000000,2070.000000,-2744.000000
-428.000000,1546.000000,-2880.000000
-418.000000,1050.000000,-2882.000000
-308.000000,454.000000,-2898.000000
-70.000000,-50.000000,-2924.000000
-50.000000,-350.000000,-2788.000000
root11,9,7
2380.000000,-474.000000,-2968.000000
2134.000000,-720.000000,-2972.000000
1578.000000,-680.000000,-2910.000000
1144.000000,-648.000000,-2890.000000
864.000000,-554.000000,-2876.000000
478.000000,-608.000000,-2860.000000
236.000000,-654.000000,-2864.000000
374.000000,-840.000000,-2786.000000
620.000000,-996.000000,-2616.000000
root3,10,8
2294.000000,3422.000000,-2500.000000
1346.000000,3156.000000,-2644.000000
684.000000,2792.000000,-2712.000000
-4.000000,2248.000000,-2852.000000
78.000000,1596.000000,-2926.000000
14.000000,1110.000000,-2910.000000
10.000000,638.000000,-2920.000000
-44.000000,-84.000000,-2916.000000
216.000000,-424.000000,-2910.000000
12.000000,-792.000000,-2800.000000
root7,8,9
-1864.000000,3012.000000,-2508.000000
-1284.000000,2400.000000,-2728.000000
-812.000000,1978.000000,-2762.000000
-342.000000,1724.000000,-2844.000000
100.000000,1418.000000,-2864.000000
194.000000,810.000000,-2884.000000
204.000000,284.000000,-2904.000000
70.000000,-624.000000,-2824.000000
root8,6,10
