id,appearance,attackDamage,attackRange,attackInterval,health,armor,speed,bonusMoney,priority,skill,color,Killtype(Airbot),EventClass(Airbot),propensity(Airbot),clearpoint(Airbot),dropItem(Airbot),specialty,searchInterval,attackSpread,bombDamage,bombCoolTime,flinchAvoidRatio
1,bot_light,100,800,1,60,0,200,200,0,0,255 255 255,0,1,1,0,13,L,0.05,4,200,20,25
2,bot_heavy,200,800,1,1400,500,110,1000,1,0,255 255 255,0,2,1,0,16,H,0.05,5,0,60,5
3,bot_sniper,170,4000,3,60,0,170,300,0,0,255 255 255,0,3,0,0,14,S,0.05,1,0,0,10
4,bot_rocket,150,800,8,60,0,150,400,0,0,255 255 255,0,4,1,0,15,R,0.05,2,0,0,10
5,bot_light,100,1200,1,60,0,200,200,0,0,255 255 255,0,1,0,0,13,L,0.05,5,200,20,25
6,bot_heavy_boss,220,1200,1,10000,1000,110,6000,1,0,255 255 255,0,2,0,0,11,H,0.05,8,0,60,5
7,bot_sniper,170,4000,3,60,0,170,300,0,0,255 255 255,0,3,0,0,14,S,0.05,2,0,0,10
8,bot_rocket,150,4000,8,60,0,150,400,0,0,255 255 255,0,4,0,0,15,R,0.05,2,0,0,10
9,bot_light,100,2000,2,60,0,200,200,0,0,255 255 255,0,1,1,0.3,13,L,0.05,4,200,20,25
10,bot_heavy,200,2000,1,1400,500,110,1000,1,0,255 255 255,0,2,1,1,16,H,0.05,5,0,60,5
11,bot_sniper,170,4000,3,60,0,170,300,0,0,255 255 255,0,3,1,0.6,14,S,0.05,1,0,0,10
12,bot_rocket,150,4000,8,60,0,150,400,0,0,255 255 255,0,4,1,0.5,15,R,0.05,2,0,0,10
13,bot_light,100,1200,1,60,0,200,200,0,0,255 255 255,0,1,0,0,13,L,0.05,7,200,20,25
14,bot_heavy,200,1200,1,1400,500,140,1000,1,0,255 255 255,0,2,0,0,16,H,0.05,5,0,60,5
15,bot_sniper,150,4000,7,80,0,170,300,0,0,255 255 255,0,3,0,0,14,S,0.05,1.2,0,0,10
16,bot_rocket,150,4000,8,150,0,150,400,0,0,255 255 255,0,4,0,0,15,R,0.05,2,0,0,10
99,bot_rocket,150,1200,10,60,0,150,200,0,0,255 255 255,0,4,0,0.5,10,R,0.05,3,0,0,10
100,bot_heavy,200,1200,1,1400,500,130,1000,1,0,255 255 255,0,2,0,50,11,H,0.05,7,0,50,5
101,bot_sniper,170,4000,8,60,0,180,300,0,0,255 255 255,0,3,0,0.2,14,S,0.05,2,0,0,10
102,bot_light,100,4000,0.5,60,0,220,400,0,0,255 255 255,0,1,0,0.5,13,L,0.05,7,200,20,25
103,bot_heavy,200,4000,1,1400,500,150,1000,1,0,255 255 255,0,2,0,0.5,16,H,0.05,12,0,60,5
104,bot_sniper,170,1000,3,60,0,170,300,0,0,255 255 255,0,3,0,0.5,14,S,0.05,0.5,0,0,10
105,bot_rocket,150,1000,6,60,0,150,100,0,0,255 255 255,0,4,0,0.5,15,R,0.05,4,0,0,10
10000,airbot_drone,0,0,0,0,0,0,0,0,-1,0 0 0 ,0,6,0,0,0,0,0,0,0,0,0
10001,airbot_drone,0,0,0,0,0,0,0,0,-1,0 0 0 ,0,6,0,0,0,0,0,0,0,0,0
10002,airbot_drone,0,0,0,0,0,0,0,0,-1,0 0 0 ,0,6,0,0.1,0,0,0,0,0,0,0
10003,airbot_drone,0,0,0,0,0,0,0,0,-1,0 0 0 ,0,6,0,0.1,0,0,0,0,0,0,0
10004,airbot_drone,0,0,0,0,0,0,0,0,-1,0 0 0 ,0,6,0,0.25,0,0,0,0,0,0,0
10005,airbot_drone,0,0,0,0,0,0,0,0,-1,0 0 0 ,0,6,0,0.25,0,0,0,0,0,0,0
10006,airbot_drone,0,0,0,0,0,0,0,0,-1,0 0 0 ,0,6,0,2.25,0,0,0,0,0,0,0
10007,airbot_drone,0,0,0,0,0,0,0,0,-1,0 0 0 ,0,6,0,0.3,0,0,0,0,0,0,0
10008,airbot_drone,0,0,0,0,0,0,0,0,-1,0 0 0 ,0,6,0,0.3,0,0,0,0,0,0,0
10009,airbot_drone,0,0,0,0,0,0,0,0,-1,0 0 0 ,0,6,0,0.4,0,0,0,0,0,0,0
10010,airbot_drone,0,0,0,0,0,0,0,0,-1,0 0 0 ,0,6,0,0.4,0,0,0,0,0,0,0
10011,airbot_drone,0,0,0,0,0,0,0,0,-1,0 0 0 ,0,6,0,0.4,0,0,0,0,0,0,0
10020,airbot_drone,0,0,0,0,0,0,0,0,-1,0 0 0 ,0,6,1,0,0,0,0,0,0,0,0
10021,airbot_drone,0,0,0,0,0,0,0,0,-1,0 0 0 ,0,6,1,0,0,0,0,0,0,0,0
10800,airbot_osprey,0,0,0,0,0,0,0,0,-1,0 0 0 ,0,7,1,100,12,0,0,0,0,0,0
10801,airbot_osprey,0,0,0,0,0,0,0,0,-1,0 0 0 ,0,7,0,0,0,0,0,0,0,0,0
10900,airbot_hmissile,0,0,0,0,0,0,0,0,-1,0 0 0 ,0,0,0,0,0,0,0,0,0,0,0
10901,airbot_hmissile,0,0,0,0,0,0,0,0,-1,0 0 0 ,0,0,0,0,0,0,0,0,0,0,0
10902,airbot_hmissile,0,0,0,0,0,0,0,0,-1,0 0 0 ,0,0,0,0,0,0,0,0,0,0,0
