waveID,spawnPoint,startTime,endTime,intervalTime,zombi,zombiRatio,eventmessage,MovePath,,,,,,,
1,10,0,180,3,1,1,,1,,,,,,,
1,11,0,180,3,2,1,,1,,,,,,,
1,14,0,180,3,1,1,,1,,,,,,,
1,15,0,180,3,1,1,,16,,,,,,,
1,16,0,180,3,1,1,,16,,,,,,,
1,17,0,180,3,1,1,,16,,,,,,,
1,18,0,180,3,1,1,,16,,,,,,,
2,20,0,180,3,1,1,,2,,,,,,,
2,21,0,180,3,2,1,,2,,,,,,,
2,22,0,180,3,1,1,,2,,,,,,,
2,23,0,180,3,1,1,,2,,,,,,,
2,24,0,180,3,1,1,,2,,,,,,,
2,25,0,180,3,1,1,,2,,,,,,,
2,26,0,180,3,1,1,,2,,,,,,,
2,27,0,180,3,1,1,,2,,,,,,,
2,28,0,180,3,1,1,,2,,,,,,,
2,29,0,180,3,1,1,,2,,,,,,,
3,30,0,180,3,3,1,,3,,,,,,,
4,40,0,180,3,3,1,,4,,,,,,,
4,41,0,180,3,3,1,,4,,,,,,,
4,42,0,180,3,3,1,,4,,,,,,,
5,50,0,180,3,5,1,,5,,,,,,,
5,51,0,180,3,5,1,,5,,,,,,,
5,52,0,180,3,5,1,,5,,,,,,,
5,53,0,180,3,5,1,,5,,,,,,,
5,54,0,180,3,5,1,,5,,,,,,,
6,60,0,180,3,7,1,,6,,,,,,,
6,61,0,180,3,7,1,,6,,,,,,,
6,62,0,180,3,8,1,,6,,,,,,,
6,63,0,180,3,8,1,,6,,,,,,,
7,71,0,180,3,5,1,,8,,,,,,,
7,72,0,180,3,5,1,,8,,,,,,,
7,73,0,180,3,100,1,,8,,,,,,,
8,74,0,180,3,5,1,,8,,,,,,,
8,75,0,180,3,5,1,,8,,,,,,,
8,76,0,180,3,5,1,,8,,,,,,,
8,77,0,180,3,100,1,,8,,,,,,,
8,78,0,180,3,5,1,,8,,,,,,,
9,90,0,180,3,5,1,,8,,,,,,,
9,91,0,180,3,5,1,,8,,,,,,,
9,92,0,180,3,5,1,,8,,,,,,,
9,93,0,180,3,5,1,,8,,,,,,,
9,94,0,180,3,8,1,,8,,,,,,,
9,95,0,180,3,8,1,,8,,,,,,,
9,96,0,180,3,100,1,,8,,,,,,,
9,97,0,180,3,5,1,,8,,,,,,,
9,98,0,180,3,5,1,,8,,,,,,,
10,201,0,180,3,5,1,,7,,,,,,,
10,202,0,180,3,5,1,,7,,,,,,,
10,203,0,180,3,5,1,,7,,,,,,,
10,204,0,180,3,5,1,,7,,,,,,,
10,205,0,180,3,100,1,,7,,,,,,,
10,206,0,180,3,100,1,,7,,,,,,,
10,207,0,180,3,5,1,,7,,,,,,,
10,208,0,180,3,5,1,,7,,,,,,,
10,209,0,180,3,5,1,,7,,,,,,,
10,210,0,180,3,5,1,,7,,,,,,,
11,100,0,0,3,16,1,,9,,,,,,,
11,101,0,0,3,16,1,,9,,,,,,,
12,110,0,0,3,13,1,,10,,,,,,,
12,113,0,0,3,13,1,,10,,,,,,,
12,114,0,0,3,14,1,,10,,,,,,,
12,115,0,0,3,13,1,,10,,,,,,,
12,118,0,0,3,13,1,,10,,,,,,,
12,119,0,0,3,14,1,,10,,,,,,,
12,120,0,0,3,13,1,,10,,,,,,,
12,125,0,0,3,13,1,,10,,,,,,,
12,126,0,0,3,13,1,,10,,,,,,,
12,127,0,0,3,13,1,,10,,,,,,,
12,128,0,0,3,13,1,,10,,,,,,,
12,129,0,0,3,14,1,,10,,,,,,,
13,130,0,0,3,15,1,,11,,,,,,,`
13,131,0,0,3,15,1,,11,,,,,,,
13,132,0,0,3,15,1,,11,,,,,,,
13,133,0,0,3,15,1,,11,,,,,,,
14,140,0,0,3,16,1,,12,,,,,,,
14,141,0,0,3,16,1,,12,,,,,,,
14,142,0,0,3,16,1,,12,,,,,,,
15,100,30,0,40,8,1,,9,,,,,,,
15,101,40,0,40,8,1,,9,,,,,,,
15,102,50,0,40,8,1,,9,,,,,,,
15,103,60,0,40,8,1,,9,,,,,,,
16,112,60,0,40,5,1,,10,,,,,,,
16,113,60,0,40,5,1,,10,,,,,,,
16,114,60,0,40,100,1,,10,,,,,,,
16,121,60,0,40,5,1,,10,,,,,,,
16,122,60,0,40,5,1,,10,,,,,,,
16,123,60,0,40,5,1,,10,,,,,,,
16,124,60,0,40,100,1,,10,,,,,,,
16,127,60,0,40,5,1,,10,,,,,,,
16,128,60,0,40,5,1,,10,,,,,,,
16,129,60,0,40,100,1,,10,,,,,,,
17,130,100,0,40,7,1,,11,,,,,,,
17,131,110,0,40,7,1,,11,,,,,,,
17,132,120,0,40,7,1,,11,,,,,,,
17,133,130,0,40,7,1,,11,,,,,,,
18,140,140,0,40,8,1,,12,,,,,,,
18,141,150,0,40,8,1,,12,,,,,,,
18,142,160,0,40,8,1,,12,,,,,,,
20,301,0,180,0,30,1,,7,,,,,,,
20,302,0,180,0,30,1,,7,,,,,,,
20,305,0,180,0,30,1,,7,,,,,,,
