1,-1265.000000,1247.000000,-1.000000,-1199.000000,1441.000000,129.000000
9,23.000000,143.000000,-121.000000,313.000000,577.000000,9.000000
2,-1885.000000,551.000000,-1.000000,-1631.000000,769.000000,129.000000
3,-1497.000000,-421.000000,-1.000000,-1223.000000,-347.000000,129.000000
4,-973.000000,-517.000000,-1.000000,-881.000000,-419.000000,97.000000
5,-745.000000,-913.000000,23.000000,-679.000000,-719.000000,121.000000
6,-265.000000,-385.000000,-1.000000,-59.000000,-319.000000,97.000000
7,-1357.000000,371.000000,-1.000000,-1187.000000,541.000000,97.000000
8,-817.000000,815.000000,-1.000000,-503.000000,913.000000,129.000000
10,647.000000,-1345.000000,-121.000000,937.000000,-1279.000000,9.000000
403,395.000000,-529.000000,-1.000000,697.000000,-463.000000,129.000000
12,863.000000,287.000000,-1.000000,929.000000,565.000000,129.000000
13,967.000000,-193.000000,-1.000000,1033.000000,97.000000,193.000000
14,1647.000000,-553.000000,-1.000000,1845.000000,-487.000000,129.000000
401,-973.000000,-385.000000,89.000000,-851.000000,-299.000000,187.000000
11,395.000000,-433.000000,-1.000000,689.000000,-335.000000,129.000000
402,-265.000000,-469.000000,-1.000000,-59.000000,-403.000000,97.000000
