7,,
root1,8,
1090.000000,-2538.000000,1374.000000
1768.000000,688.000000,910.000000
148.000000,2372.000000,772.000000
-1480.000000,1758.000000,748.000000
-1568.000000,-468.000000,710.000000
-460.000000,-1684.000000,740.000000
1244.000000,-662.000000,886.000000
-664.000000,2264.000000,1046.000000
root2,6,
1358.000000,2408.000000,1224.000000
-124.000000,428.000000,922.000000
-570.000000,-462.000000,808.000000
-2730.000000,-864.000000,1114.000000
-2086.000000,1614.000000,804.000000
284.000000,512.000000,888.000000
root3,8,
284.000000,3208.000000,1172.000000
138.000000,148.000000,696.000000
-1850.000000,1250.000000,962.000000
-934.000000,3146.000000,868.000000
450.000000,2592.000000,734.000000
1686.000000,2326.000000,704.000000
1568.000000,424.000000,832.000000
56.000000,-42.000000,1052.000000
root5,2,
1750.000000,-2390.000000,1050.000000
-1400.000000,2868.000000,886.000000
root6,2,
-2708.000000,-1970.000000,1578.000000
1598.000000,2086.000000,1134.000000
root7,2,
-2310.000000,2094.000000,1144.000000
1534.000000,-1318.000000,828.000000
root8,3,
-390.000000,-2540.000000,1076.000000
60.000000,-1768.000000,730.000000
-386.000000,2356.000000,940.000000
