waveID,intervalTime,zombi,specialzombi,ect
1,5,1,,
1,9999,600,5000,
1,9999,600,5001,
1,9999,600,5002,
1,9999,600,5003,
1,9999,500,5004,
2,9,201,,
2,10,201,,
2,9999,9999,858,
3,7,2,,
3,8,22,,
3,40,104,,
3,9999,600,5000,
3,9999,600,5001,
3,9999,600,5002,
3,9999,600,5003,
3,9999,500,5004,
4,9999,9999,861,
4,8,202,,
4,9,202,,
4,8,222,,
5,7,3,,
5,8,22,,
5,7,33,,
5,9999,9999,864,
5,9999,600,5000,
5,9999,600,5001,
5,9999,600,5002,
5,9999,600,5003,
5,9999,500,5004,
6,8,203,,
6,9,203,,
6,10,223,,
6,11,233,,
7,9999,9999,963,
7,7,4,,
7,8,23,,
7,7,33,,
7,8,44,,
7,20,104,,
7,9999,601,5000,
7,9999,601,5001,
7,9999,601,5002,
7,9999,601,5003,
7,9999,500,5004,
8,8,204,,
8,9,223,,
8,8,233,,.
8,9,244,,
8,8,255,,
9,9999,601,5000,
9,9999,601,5001,
9,9999,601,5002,
9,9999,601,5003,
9,9999,500,5004,
9,9999,30600,201,
9,9999,9999,955,
9,7,5,,
9,8,23,,
9,7,33,,
9,8,55,,
9,61,171,,
10,9999,500,,
10,8,205,,
10,9,223,,
10,8,233,,
10,9,290,,
10,8,205,,
10,9,223,,
11,9999,601,5000,
11,9999,601,5001,
11,9999,601,5002,
11,9999,601,5003,
11,9999,500,5004,
11,6,6,,
11,7,24,,
11,6,34,,
11,7,76,,
11,6,6,,
11,7,24,,
12,7,206,,
12,8,224,,
12,7,234,,
12,8,261,,
12,7,277,,
12,8,206,,
12,31,105,,
13,9999,602,5000,
13,9999,602,5001,
13,9999,602,5002,
13,9999,602,5003,
13,9999,500,5004,
13,9999,30701,10010,
13,6,7,,
13,7,24,,
13,6,34,,
13,7,76,,
13,6,155,,
13,7,7,,
13,6,24,,
14,7,207,,
14,8,224,,
14,7,234,,
14,8,256,,
14,7,207,,
14,8,224,,
14,9,155,,
14,51,290,,
15,9999,602,5000,
15,9999,602,5001,
15,9999,602,5002,
15,9999,602,5003,
15,9999,500,5004,
15,6,8,,
15,7,25,,
15,6,34,,
15,7,45,,
15,20,105,,
15,6,8,,
15,7,25,,
15,6,34,,
16,7,208,,
16,8,225,,
16,7,234,,
16,8,245,,
16,7,208,,
16,8,225,,
16,9,234,,
16,10,245,,
16,30,106,,
17,9999,602,5000,
17,9999,602,5001,
17,9999,602,5002,
17,9999,602,5003,
17,9999,500,5004,
17,9999,1000,20100,
17,6,9,,
17,7,25,,
17,6,35,,
17,7,67,,
17,6,9,,
17,7,25,,
17,6,35,,
17,7,67,,
17,121,181,,
18,7,209,,
18,8,225,,
18,7,235,,
18,8,262,,
18,7,209,,
18,8,209,,
18,7,225,,
18,8,235,,
18,9,262,,
18,51,291,,
18,9999,501,,
19,9999,603,5000,
19,9999,603,5001,
19,9999,603,5002,
19,9999,603,5003,
19,9999,30200,5005,
19,9999,9999,856,
19,6,10,,
19,7,26,,
19,6,35,,
19,7,49,,
19,6,56,,
19,7,77,,
19,6,10,,
19,7,26,,
19,6,35,,
19,31,172,,
20,9999,700,,
20,7,210,,
20,8,226,,
20,7,235,,
20,8,256,,
20,7,279,,
20,20,106,,
20,7,210,,
20,8,226,,
20,7,235,,
20,8,256,,
20,30,106,,
21,9999,603,5000,
21,9999,603,5001,
21,9999,603,5002,
21,9999,603,5003,
21,9999,501,5004,
21,6,11,,
21,7,26,,
21,6,35,,
21,7,156,,
21,6,11,,
21,7,26,,
21,6,35,,
21,7,11,,
21,6,26,,
21,7,35,,
22,6,211,,
22,7,226,,
22,6,235,,
22,7,156,,
22,6,211,,
22,7,226,,
22,6,235,,
22,7,156,,
22,6,211,,
22,7,226,,
22,30,291,,
23,9999,603,5000,
23,9999,603,5001,
23,9999,603,5002,
