x,y,z,pitch,yaw,roll,type,useCount,difficulty,model
3524.270020,-1510.530029,63.533699,0.000000,0.000000,0.000000,1,1,3,models/bg_medibox_group.mdl
1603.729980,-2787.199951,63.533699,0.000000,180.000000,0.000000,1,1,3,models/bg_medibox_group.mdl
1813.000000,-562.000000,63.533699,0.000000,135.000000,0.000000,1,1,3,models/bg_medibox_group.mdl
3808.000000,2062.000000,63.533699,0.000000,180.000000,0.000000,1,1,3,models/bg_medibox_group.mdl
1296.000000,1956.000000,63.533699,0.000000,225.000000,0.000000,1,1,3,models/bg_medibox_group.mdl
116.000000,1182.000000,63.533699,0.000000,0.000000,0.000000,1,1,3,models/bg_medibox_group.mdl
-1104.000000,2580.000000,319.533997,0.000000,225.000000,0.000000,1,1,3,models/bg_medibox_group.mdl
-3106.000000,1676.000000,71.533798,0.000000,270.000000,0.000000,1,1,3,models/bg_medibox_group.mdl
212.000000,382.000000,319.533997,0.000000,0.000000,0.000000,1,1,3,models/bg_medibox_group.mdl
-1824.000000,444.000000,63.533798,0.000000,45.000000,0.000000,1,1,3,models/bg_medibox_group.mdl
-212.000000,386.000000,319.533997,0.000000,180.000000,0.000000,1,1,3,models/bg_medibox_group.mdl
-2050.000000,-1932.000000,63.533798,0.000000,270.000000,0.000000,1,1,3,models/bg_medibox_group.mdl
