1,-321.000000,1407.000000,2431.000000,321.000000,2049.000000,2577.000000
2,-145.000000,991.000000,2431.000000,145.000000,1089.000000,2577.000000
3,-609.000000,-1921.000000,2431.000000,-511.000000,-1663.000000,2625.000000
4,-2177.000000,-2657.000000,2303.000000,-1919.000000,-2559.000000,2497.000000
5,-769.000000,-3329.000000,2303.000000,-671.000000,-2815.000000,2593.000000
6,671.000000,-3329.000000,2303.000000,769.000000,-2815.000000,2593.000000
7,1535.000000,-3329.000000,2303.000000,1633.000000,-2815.000000,2593.000000
8,1791.000000,-2529.000000,2303.000000,2305.000000,-2431.000000,2593.000000
401,-449.000000,-1921.000000,2431.000000,-351.000000,-1663.000000,2625.000000
402,-1505.000000,-3329.000000,2303.000000,-1407.000000,-2815.000000,2593.000000
403,1407.000000,-3329.000000,2303.000000,1505.000000,-2815.000000,2593.000000
50,1791.000000,-2529.000000,1983.000000,2305.000000,-1535.000000,2049.000000
100,-17.000000,-121.000000,-3281.000000,401.000000,265.000000,-3151.000000
