Random,3,
EXIT,ROOM,
START,6,
END,7,
g-A1-1,3,
g-A1-2,5,
g-A2-1,7,
g-A2-2,7,
g-B1-1,2,
g-B1-2,5,
g-B2-1,1,
g-B2-2,5,
g-C1-1,2,
g-C1-2,2,
g-C2-1,3,
g-C2-2,4,
w-a1-1s,1,
w-a2-1s,2,
w-b1-1s,3,
w-b2-1s,4,
w-c1-1s,5,
w-c1-2s,6,5
w-c1-3s,7,6
w-c1-4s,,7
w-c1-5m,1000,
w-c1-6m,1001,
w-c1-7m,1001,
w-c1-8m,1002,
w-c2-1s,8,
w-c2-2s,9,8
w-c2-3s,10,9
w-c2-4s,,10
w-c2-6m,2000,
w-c2-7m,1005,
w-c2-8m,1005,
w-c2-9m,1006,
w-c2-10m,1007,
w-boss-1s,100,
*********,,
EXIT,ROOM,
START,1,
END,7,
g-A1-1,3,
g-A1-2,5,
g-A2-1,4,
g-A2-2,6,
g-B1-1,6,
g-B1-2,2,
g-B2-1,7,
g-B2-2,7,
g-C1-1,3,
g-C1-2,4,
g-C2-1,4,
g-C2-2,4,
w-a1-1s,11,
w-a2-1s,12,
w-b1-1s,13,
w-b2-1s,14,
w-c1-1s,15,
w-c1-2s,16,15
w-c1-3s,17,16
w-c1-4s,,17
w-c1-5m,1000,
w-c1-6m,1001,
w-c1-7m,1001,
w-c1-8m,1002,
w-c2-1s,18,
w-c2-2s,19,18
w-c2-3s,20,19
w-c2-4s,,20
w-c2-6m,1004,
w-c2-7m,1005,
w-c2-8m,1005,
w-c2-9m,1006,
w-c2-10m,1007,
w-boss-1s,100,
*********,,
EXIT,ROOM,
START,4,
END,7,
g-A1-1,3,
g-A1-2,6,
g-A2-1,7,
g-A2-2,7,
g-B1-1,2,
g-B1-2,5,
g-B2-1,1,
g-B2-2,6,
g-C1-1,2,
g-C1-2,2,
g-C2-1,2,
g-C2-2,3,
w-a1-1s,21,
w-a2-1s,22,
w-b1-1s,23,
w-b2-1s,24,
w-c1-1s,25,
w-c1-2s,26,25
w-c1-3s,27,26
w-c1-4s,,27
w-c1-5m,1000,
w-c1-6m,1001,
w-c1-7m,1001,
w-c1-8m,1002,
w-c2-1s,28,
w-c2-2s,29,28
w-c2-3s,30,29
w-c2-4s,,30
w-c2-6m,1004,
w-c2-7m,1005,
w-c2-8m,1005,
w-c2-9m,1006,
w-c2-10m,1007,
w-boss-1s,100,
*********,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
***********,,
